experiment,path,batch_size,sequence_length,sample,elapsed_ms
batch_length_scan,sequential,2,64,4,1.246267
batch_length_scan,sequential,2,64,5,1.241846
batch_length_scan,sequential,2,64,6,1.408639
batch_length_scan,sequential,2,64,7,1.286787
batch_length_scan,sequential,2,64,8,1.249897
batch_length_scan,sequential,2,64,9,1.247716
batch_length_scan,sequential,2,64,10,1.250136
batch_length_scan,sequential,2,64,11,1.404810
batch_length_scan,sequential,2,64,12,1.299877
batch_length_scan,sequential,2,64,13,1.261896
batch_length_scan,sequential,2,64,14,1.253267
batch_length_scan,sequential,2,64,15,1.254946
batch_length_scan,sequential,2,64,16,1.271647
batch_length_scan,sequential,2,64,17,1.424860
batch_length_scan,sequential,2,64,18,1.255516
batch_length_scan,sequential,2,64,19,1.251967
batch_length_scan,sequential,2,64,20,1.251646
batch_length_scan,sequential,2,64,21,1.251806
batch_length_scan,sequential,2,64,22,1.412050
batch_length_scan,sequential,2,64,23,1.288967
batch_length_scan,sequential,2,64,24,1.252286
batch_length_scan,sequential,2,64,25,1.249706
batch_length_scan,sequential,2,64,26,1.252857
batch_length_scan,sequential,2,64,27,1.401629
batch_length_scan,sequential,2,64,28,1.289938
batch_length_scan,sequential,2,64,29,1.253156
batch_length_scan,sequential,2,64,30,1.248566
batch_length_scan,batched,2,64,1,0.772996
batch_length_scan,batched,2,64,2,0.765126
batch_length_scan,batched,2,64,3,0.932779
batch_length_scan,batched,2,64,4,0.809658
batch_length_scan,batched,2,64,5,0.780396
batch_length_scan,batched,2,64,6,0.776246
batch_length_scan,batched,2,64,7,0.774606
batch_length_scan,batched,2,64,8,0.771267
batch_length_scan,batched,2,64,9,0.773296
batch_length_scan,batched,2,64,10,0.776556
batch_length_scan,batched,2,64,11,0.825378
batch_length_scan,batched,2,64,12,0.878828
batch_length_scan,batched,2,64,13,0.788037
batch_length_scan,batched,2,64,14,0.803906
batch_length_scan,batched,2,64,15,0.774347
batch_length_scan,batched,2,64,16,0.775466
batch_length_scan,batched,2,64,17,0.775886
batch_length_scan,batched,2,64,18,0.777167
batch_length_scan,batched,2,64,19,0.777346
batch_length_scan,batched,2,64,20,0.938550
batch_length_scan,batched,2,64,21,0.774106
batch_length_scan,batched,2,64,22,0.793617
batch_length_scan,batched,2,64,23,0.772506
batch_length_scan,batched,2,64,24,0.807717
batch_length_scan,batched,2,64,25,0.772146
batch_length_scan,batched,2,64,26,0.776547
batch_length_scan,batched,2,64,27,0.771416
batch_length_scan,batched,2,64,28,0.778216
batch_length_scan,batched,2,64,29,0.936950
batch_length_scan,batched,2,64,30,0.798287
batch_length_scan,sequential,2,128,1,2.652586
batch_length_scan,sequential,2,128,2,2.633085
batch_length_scan,sequential,2,128,3,2.827250
batch_length_scan,sequential,2,128,4,2.654095
batch_length_scan,sequential,2,128,5,2.801479
batch_length_scan,sequential,2,128,6,2.645616
batch_length_scan,sequential,2,128,7,2.660346
batch_length_scan,sequential,2,128,8,2.821239
batch_length_scan,sequential,2,128,9,2.644335
batch_length_scan,sequential,2,128,10,2.812020
batch_length_scan,sequential,2,128,11,2.651365
batch_length_scan,sequential,2,128,12,2.633716
batch_length_scan,sequential,2,128,13,3.137196
batch_length_scan,sequential,2,128,14,2.638475
batch_length_scan,sequential,2,128,15,2.644706
batch_length_scan,sequential,2,128,16,2.630735
batch_length_scan,sequential,2,128,17,2.639795
batch_length_scan,sequential,2,128,18,2.639326
batch_length_scan,sequential,2,128,19,2.641385
batch_length_scan,sequential,2,128,20,2.647246
batch_length_scan,sequential,2,128,21,2.625125
batch_length_scan,sequential,2,128,22,2.636356
batch_length_scan,sequential,2,128,23,2.627245
batch_length_scan,sequential,2,128,24,2.657016
batch_length_scan,sequential,2,128,25,2.654405
batch_length_scan,sequential,2,128,26,2.642946
batch_length_scan,sequential,2,128,27,2.634195
batch_length_scan,sequential,2,128,28,2.642306
batch_length_scan,sequential,2,128,29,2.644165
batch_length_scan,sequential,2,128,30,2.631435
batch_length_scan,batched,2,128,1,1.735966
batch_length_scan,batched,2,128,2,1.739287
batch_length_scan,batched,2,128,3,1.752897
batch_length_scan,batched,2,128,4,1.728296
batch_length_scan,batched,2,128,5,1.736766
batch_length_scan,batched,2,128,6,1.754897
batch_length_scan,batched,2,128,7,1.746847
batch_length_scan,batched,2,128,8,1.734426
batch_length_scan,batched,2,128,9,1.738597
batch_length_scan,batched,2,128,10,1.721406
batch_length_scan,batched,2,128,11,1.723606
batch_length_scan,batched,2,128,12,1.726767
batch_length_scan,batched,2,128,13,1.738006
batch_length_scan,batched,2,128,14,1.742927
batch_length_scan,batched,2,128,15,1.734736
batch_length_scan,batched,2,128,16,1.738677
batch_length_scan,batched,2,128,17,1.746786
batch_length_scan,batched,2,128,18,1.744757
batch_length_scan,batched,2,128,19,1.745457
batch_length_scan,batched,2,128,20,1.738966
batch_length_scan,batched,2,128,21,1.738207
batch_length_scan,batched,2,128,22,1.745076
batch_length_scan,batched,2,128,23,1.746167
batch_length_scan,batched,2,128,24,1.725727
batch_length_scan,batched,2,128,25,1.731056
batch_length_scan,batched,2,128,26,1.756927
batch_length_scan,batched,2,128,27,1.740126
batch_length_scan,batched,2,128,28,1.757777
batch_length_scan,batched,2,128,29,1.735797
batch_length_scan,batched,2,128,30,1.738166
batch_length_scan,sequential,2,256,1,6.161579
batch_length_scan,sequential,2,256,2,6.157239
batch_length_scan,sequential,2,256,3,6.141749
batch_length_scan,sequential,2,256,4,6.156489
batch_length_scan,sequential,2,256,5,6.171990
batch_length_scan,sequential,2,256,6,6.134979
batch_length_scan,sequential,2,256,7,6.143119
batch_length_scan,sequential,2,256,8,6.136779
batch_length_scan,sequential,2,256,9,6.146759
batch_length_scan,sequential,2,256,10,6.145329
batch_length_scan,sequential,2,256,11,6.096328
batch_length_scan,sequential,2,256,12,6.138069
batch_length_scan,sequential,2,256,13,6.150969
batch_length_scan,sequential,2,256,14,6.157950
batch_length_scan,sequential,2,256,15,6.088178
batch_length_scan,sequential,2,256,16,6.128919
batch_length_scan,sequential,2,256,17,6.077957
batch_length_scan,sequential,2,256,18,6.046247
batch_length_scan,sequential,2,256,19,6.082278
batch_length_scan,sequential,2,256,20,6.078908
batch_length_scan,sequential,2,256,21,6.107448
batch_length_scan,sequential,2,256,22,6.146079
batch_length_scan,sequential,2,256,23,6.111128
batch_length_scan,sequential,2,256,24,6.075248
batch_length_scan,sequential,2,256,25,6.094568
batch_length_scan,sequential,2,256,26,6.109849
batch_length_scan,sequential,2,256,27,6.081197
batch_length_scan,sequential,2,256,28,6.115469
batch_length_scan,sequential,2,256,29,6.111008
batch_length_scan,sequential,2,256,30,6.085628
batch_length_scan,batched,2,256,1,4.664798
batch_length_scan,batched,2,256,2,4.489734
batch_length_scan,batched,2,256,3,4.429323
batch_length_scan,batched,2,256,4,4.474474
batch_length_scan,batched,2,256,5,4.516465
batch_length_scan,batched,2,256,6,4.456674
batch_length_scan,batched,2,256,7,4.469594
batch_length_scan,batched,2,256,8,4.482704
batch_length_scan,batched,2,256,9,4.459973
batch_length_scan,batched,2,256,10,4.439164
batch_length_scan,batched,2,256,11,4.462893
batch_length_scan,batched,2,256,12,4.476554
batch_length_scan,batched,2,256,13,4.457524
batch_length_scan,batched,2,256,14,4.455794
batch_length_scan,batched,2,256,15,4.549735
batch_length_scan,batched,2,256,16,4.473453
batch_length_scan,batched,2,256,17,5.276391
batch_length_scan,batched,2,256,18,5.616178
batch_length_scan,batched,2,256,19,5.572247
batch_length_scan,batched,2,256,20,5.707470
batch_length_scan,batched,2,256,21,4.669489
batch_length_scan,batched,2,256,22,4.549765
batch_length_scan,batched,2,256,23,4.548416
batch_length_scan,batched,2,256,24,4.534845
batch_length_scan,batched,2,256,25,4.513905
batch_length_scan,batched,2,256,26,4.496104
batch_length_scan,batched,2,256,27,4.784331
batch_length_scan,batched,2,256,28,4.503964
batch_length_scan,batched,2,256,29,4.496885
batch_length_scan,batched,2,256,30,4.473104
