experiment,path,batch_size,sequence_length,sample,elapsed_ms
batch_size_scan,sequential,8,128,4,10.833948
batch_size_scan,sequential,8,128,5,10.878339
batch_size_scan,sequential,8,128,6,10.832627
batch_size_scan,sequential,8,128,7,10.846768
batch_size_scan,sequential,8,128,8,10.824268
batch_size_scan,sequential,8,128,9,10.870928
batch_size_scan,sequential,8,128,10,10.819618
batch_size_scan,sequential,8,128,11,10.827268
batch_size_scan,sequential,8,128,12,10.868338
batch_size_scan,sequential,8,128,13,10.826627
batch_size_scan,sequential,8,128,14,10.888379
batch_size_scan,sequential,8,128,15,10.856399
batch_size_scan,sequential,8,128,16,10.816437
batch_size_scan,sequential,8,128,17,10.877999
batch_size_scan,sequential,8,128,18,10.847158
batch_size_scan,sequential,8,128,19,10.852128
batch_size_scan,sequential,8,128,20,10.920860
batch_size_scan,sequential,8,128,21,10.883299
batch_size_scan,sequential,8,128,22,10.864118
batch_size_scan,sequential,8,128,23,10.912320
batch_size_scan,sequential,8,128,24,10.953280
batch_size_scan,sequential,8,128,25,10.930310
batch_size_scan,sequential,8,128,26,10.937800
batch_size_scan,sequential,8,128,27,10.910810
batch_size_scan,sequential,8,128,28,10.903879
batch_size_scan,sequential,8,128,29,10.896999
batch_size_scan,sequential,8,128,30,10.872109
batch_size_scan,batched,8,128,1,4.565864
batch_size_scan,batched,8,128,2,5.350032
batch_size_scan,batched,8,128,3,5.222590
batch_size_scan,batched,8,128,4,5.267230
batch_size_scan,batched,8,128,5,5.182559
batch_size_scan,batched,8,128,6,5.269140
batch_size_scan,batched,8,128,7,5.285931
batch_size_scan,batched,8,128,8,5.305641
batch_size_scan,batched,8,128,9,5.205409
batch_size_scan,batched,8,128,10,5.285161
batch_size_scan,batched,8,128,11,5.198059
batch_size_scan,batched,8,128,12,5.279721
batch_size_scan,batched,8,128,13,5.265920
batch_size_scan,batched,8,128,14,5.317081
batch_size_scan,batched,8,128,15,5.174409
batch_size_scan,batched,8,128,16,5.265210
batch_size_scan,batched,8,128,17,5.182888
batch_size_scan,batched,8,128,18,5.263661
batch_size_scan,batched,8,128,19,5.180688
batch_size_scan,batched,8,128,20,5.277731
batch_size_scan,batched,8,128,21,5.183908
batch_size_scan,batched,8,128,22,5.259380
batch_size_scan,batched,8,128,23,5.169329
batch_size_scan,batched,8,128,24,5.274440
batch_size_scan,batched,8,128,25,5.224310
batch_size_scan,batched,8,128,26,5.274020
batch_size_scan,batched,8,128,27,5.179459
batch_size_scan,batched,8,128,28,5.271720
batch_size_scan,batched,8,128,29,5.179229
batch_size_scan,batched,8,128,30,5.291480
batch_size_scan,sequential,2,128,1,2.716403
batch_size_scan,sequential,2,128,2,2.730192
batch_size_scan,sequential,2,128,3,2.758283
batch_size_scan,sequential,2,128,4,2.710072
batch_size_scan,sequential,2,128,5,2.716252
batch_size_scan,sequential,2,128,6,2.706702
batch_size_scan,sequential,2,128,7,2.720222
batch_size_scan,sequential,2,128,8,2.713872
batch_size_scan,sequential,2,128,9,2.716052
batch_size_scan,sequential,2,128,10,2.721383
batch_size_scan,sequential,2,128,11,2.709412
batch_size_scan,sequential,2,128,12,2.735042
batch_size_scan,sequential,2,128,13,2.718462
batch_size_scan,sequential,2,128,14,2.719742
batch_size_scan,sequential,2,128,15,2.714952
batch_size_scan,sequential,2,128,16,2.714522
batch_size_scan,sequential,2,128,17,2.723943
batch_size_scan,sequential,2,128,18,2.713832
batch_size_scan,sequential,2,128,19,2.731052
batch_size_scan,sequential,2,128,20,2.721372
batch_size_scan,sequential,2,128,21,2.722582
batch_size_scan,sequential,2,128,22,2.718353
batch_size_scan,sequential,2,128,23,2.723662
batch_size_scan,sequential,2,128,24,2.742492
batch_size_scan,sequential,2,128,25,2.734303
batch_size_scan,sequential,2,128,26,2.723932
batch_size_scan,sequential,2,128,27,2.737253
batch_size_scan,sequential,2,128,28,2.715222
batch_size_scan,sequential,2,128,29,2.725062
batch_size_scan,sequential,2,128,30,2.715252
batch_size_scan,batched,2,128,1,1.767630
batch_size_scan,batched,2,128,2,1.781421
batch_size_scan,batched,2,128,3,1.785850
batch_size_scan,batched,2,128,4,1.792152
batch_size_scan,batched,2,128,5,1.807911
batch_size_scan,batched,2,128,6,1.783721
batch_size_scan,batched,2,128,7,1.782970
batch_size_scan,batched,2,128,8,1.780421
batch_size_scan,batched,2,128,9,1.768001
batch_size_scan,batched,2,128,10,1.773370
batch_size_scan,batched,2,128,11,1.781861
batch_size_scan,batched,2,128,12,1.797691
batch_size_scan,batched,2,128,13,1.791971
batch_size_scan,batched,2,128,14,1.802781
batch_size_scan,batched,2,128,15,1.791521
batch_size_scan,batched,2,128,16,1.785191
batch_size_scan,batched,2,128,17,1.782660
batch_size_scan,batched,2,128,18,1.817142
batch_size_scan,batched,2,128,19,1.797491
batch_size_scan,batched,2,128,20,1.790351
batch_size_scan,batched,2,128,21,1.785741
batch_size_scan,batched,2,128,22,1.786831
batch_size_scan,batched,2,128,23,1.784481
batch_size_scan,batched,2,128,24,1.796441
batch_size_scan,batched,2,128,25,1.797540
batch_size_scan,batched,2,128,26,1.786611
batch_size_scan,batched,2,128,27,1.798552
batch_size_scan,batched,2,128,28,1.798091
batch_size_scan,batched,2,128,29,1.795791
batch_size_scan,batched,2,128,30,1.807771
